geoid,county_fips,county,population,latitude,longitude,drive_min_strict,drive_min_full,nearest_station_strict,nearest_station_full,desert_strict,desert_full,desert_class
360010001001,36001,Albany,944,42.673385,-73.739763,5.7,5.7,SMG,SMG,False,False,covered
360010001002,36001,Albany,1129,42.673581,-73.740511,6.2,6.2,SMG,SMG,False,False,covered
360010002011,36001,Albany,791,42.659495,-73.753679,4.5,4.5,SMG,SMG,False,False,covered
360010002012,36001,Albany,1448,42.658778,-73.756056,4.0,4.0,SMG,SMG,False,False,covered
360010002013,36001,Albany,886,42.656995,-73.756610,2.7,2.7,SMG,SMG,False,False,covered
360010002021,36001,Albany,1614,42.661452,-73.752129,3.4,3.4,SMG,SMG,False,False,covered
360010002022,36001,Albany,984,42.666369,-73.751275,4.6,4.6,SMG,SMG,False,False,covered
360010003011,36001,Albany,1662,42.670167,-73.773042,5.1,5.1,Test CME Agency,Test CME Agency,False,False,covered
360010003012,36001,Albany,1528,42.674597,-73.779923,3.6,3.6,Test CME Agency,Test CME Agency,False,False,covered
360010003021,36001,Albany,2317,42.684386,-73.804866,4.0,4.0,New York State Police - Special Operations Response Team,New York State Police - Special Operations Response Team,False,False,covered
360010003022,36001,Albany,1179,42.676986,-73.753813,6.7,6.7,SMG,SMG,False,False,covered
360010004011,36001,Albany,2216,42.704654,-73.868592,7.4,7.4,"Five Quad Volunteer Ambulance Service, Inc.","Five Quad Volunteer Ambulance Service, Inc.",False,False,covered
360010004031,36001,Albany,1380,42.676285,-73.791008,2.4,2.4,Test CME Agency,Test CME Agency,False,False,covered
360010004032,36001,Albany,1406,42.671364,-73.796045,2.6,2.6,New York State Police - Special Operations Response Team,New York State Police - Special Operations Response Team,False,False,covered
360010004033,36001,Albany,667,42.673309,-73.799814,1.9,1.9,New York State Police - Special Operations Response Team,New York State Police - Special Operations Response Team,False,False,covered
360010004034,36001,Albany,965,42.675215,-73.808727,2.7,2.7,New York State Police - Special Operations Response Team,New York State Police - Special Operations Response Team,False,False,covered
360010004041,36001,Albany,5194,42.687193,-73.826151,2.4,2.4,"Five Quad Volunteer Ambulance Service, Inc.","Five Quad Volunteer Ambulance Service, Inc.",False,False,covered
360010005011,36001,Albany,1099,42.667076,-73.777685,4.8,4.8,Test CME Agency,Test CME Agency,False,False,covered
360010005012,36001,Albany,652,42.669832,-73.781423,4.1,4.1,Test CME Agency,Test CME Agency,False,False,covered
360010005013,36001,Albany,666,42.672257,-73.784699,3.1,3.1,Test CME Agency,Test CME Agency,False,False,covered
360010005014,36001,Albany,1023,42.672595,-73.786267,3.0,3.0,Test CME Agency,Test CME Agency,False,False,covered
360010005021,36001,Albany,1386,42.664286,-73.783597,5.7,5.7,New York State Police - Special Operations Response Team,New York State Police - Special Operations Response Team,False,False,covered
360010005022,36001,Albany,1455,42.668957,-73.789704,3.5,3.5,New York State Police - Special Operations Response Team,New York State Police - Special Operations Response Team,False,False,covered
360010006001,36001,Albany,585,42.663003,-73.770009,4.5,4.5,SMG,SMG,False,False,covered
360010006002,36001,Albany,1062,42.664485,-73.772263,4.7,4.7,SMG,SMG,False,False,covered
360010006003,36001,Albany,1853,42.664215,-73.775664,5.1,5.1,Test CME Agency,Test CME Agency,False,False,covered
