county,county_fips,agency_type,agency_name,street,city
Albany,36001,ambulance_als,"Air Methods LLC, wholly owned subsidiary Rocky Mtn Holdings LLC",6 Old School Road,"Selkirk, NY 12158"
Albany,36001,ambulance_als,Albany County Sheriff's Department Advanced Life Support,PO Box 315,"Voorheesville, NY 12186"
Albany,36001,ambulance_als,Albany County Sheriff's Office EMS Unit,PO Box 315,"Voorheesville, NY 12186"
Albany,36001,ambulance_als,"Albany, City of",26 Broad Street,"Albany, NY 12202"
Albany,36001,ambulance_als,"Albany-Schenectady-Greene Co. Ag. Societies, Inc.",PO Box 506,"Altamont, NY 12009"
Albany,36001,ambulance_als,"Bethlehem, Town of",PO Box 508,"Delmar, NY 12054"
Albany,36001,ambulance_als,"Colonie Emergency Medical Services, Town of",312 Wolf Road,"Latham, NY 12110"
Albany,36001,ambulance_als,"Delmar Volunteer Ambulance Service, Inc.",PO Box 508,"Delmar, NY 12054"
Albany,36001,ambulance_als,"Five Quad Volunteer Ambulance Service, Inc.",1400 Washington Avenue,"Albany, NY 12222"
Albany,36001,ambulance_als,"Green Island, Village of",7 Clinton Street,"Green Island, NY 12183"
Albany,36001,ambulance_als,"Guilderland Emergency Medical Service, Town of",200 Centre Drive,"Guilderland, NY 12203"
Albany,36001,ambulance_als,"Guilderland, Town of",200 Centre Drive,"Albany, NY 12203"
Albany,36001,ambulance_als,"Helderberg Ambulance Squad, Inc.",PO Box 54,"East Berne, NY 12059"
Albany,36001,ambulance_als,"Knox, Town of",PO Box 56,"Knox, NY 12007"
Albany,36001,ambulance_als,New York State Office of Fire Prevention and Control,PO Box 351 Guilderland,"Guilderland, NY 12085"
Albany,36001,ambulance_als,New York State Police - Aviation Unit,739 Albany Shaker Road,"Latham, NY 12110"
Albany,36001,ambulance_als,New York State Police - Special Operations Response Team,1220 Washington Avenue,"Albany, NY 12226"
Albany,36001,ambulance_als,"Onesquethaw Volunteer Fire Company, Inc.",PO Box E,"Clarksville, NY 12041"
Albany,36001,ambulance_als,"Ravena Rescue Squad, Inc.",P.O. Box 144,"Ravena, NY 12143"
Albany,36001,ambulance_als,"SABIC Innovative Plastics, US, LLC",1 Noryl Avenue,"Selkirk, NY 12158"
Albany,36001,ambulance_als,SMG,51 South Pearl Street,"Albany, NY 12207"
Albany,36001,ambulance_als,Test CME Agency,875 Central Avenue,"Albany, NY 12203"
Albany,36001,ambulance_als,Watervliet Arsenal Fire Department,1 Buffington Street,"Watervliet, NY 12189"
Albany,36001,ambulance_als,"Watervliet, City of",116 13th Street,"Watervliet, NY 12189"
Allegany,36003,ambulance_als,"A.E. Crandall Hook and Ladder Co., Inc.",PO Box 582,"Alfred, NY 14802"
Allegany,36003,ambulance_als,"Almond, Village of",PO Box 18,"Almond, NY 14804"
Allegany,36003,ambulance_als,"Amity Rescue Squad, Inc.",PO Box 202,"Belmont, NY 14813"
Allegany,36003,ambulance_als,"Andover Volunteer Ambulance Corp, Inc.",PO Box 726,"Andover, NY 14806"
Allegany,36003,ambulance_als,"Belfast Fire Department, Inc.",PO Box 487,"Belfast, NY 14711"
Allegany,36003,ambulance_als,"Bolivar Fire Department, Inc.",460 Main Street,"Bolivar, NY 14715"
Allegany,36003,ambulance_als,"Canaseraga Ambulance, Village of",PO Box 235,"Canaseraga, NY 14822"
Allegany,36003,ambulance_als,"Clarksville Ambulance Service, Town of",P.O. Box 64,"West Clarksville, NY 14786"
Allegany,36003,ambulance_als,"Cuba Ambulance Service, Town of",15 Water St.,"Cuba, NY 14727"
Allegany,36003,ambulance_als,"Friendship Ambulance, Town of",4 East Main Street,"Friendship, NY 14739"
Allegany,36003,ambulance_als,"Houghton Volunteer Ambulance Service, Inc.",PO Box 7,"Houghton, NY 14744"
Allegany,36003,ambulance_als,"Independence Emergency Squad, Inc.",PO Box 309,"Whitesville, NY 14897"
Allegany,36003,ambulance_als,"Medical Transport Service, Inc.",PO Box 586,"Wellsville, NY 14895"
Allegany,36003,ambulance_als,Richburg Wirt Fire District Ambulance,PO Box 74,"Richburg, NY 14774"
Allegany,36003,ambulance_als,Rushford Fire District,PO Box 67,"Rushford, NY 14777"
