county,county_fips,ambulance_als_station_count,bls_nontransport_station_count,total_station_count,population_2025,land_area_sq_mi,stations_per_10k_residents,stations_per_100_sq_mi
Albany,36001,24,14,38,321225,522.888,1.183,7.267
Allegany,36003,17,2,19,46800,1029.507,4.06,1.846
Bronx,36005,8,0,8,1406332,42.201,0.057,18.957
Broome,36007,15,25,40,195736,705.651,2.044,5.669
Cattaraugus,36009,25,7,32,75390,1308.183,4.245,2.446
Cayuga,36011,12,21,33,74365,691.589,4.438,4.772
Chautauqua,36013,35,3,38,124126,1060.41,3.061,3.584
Chemung,36015,1,20,21,80415,407.334,2.611,5.155
Chenango,36017,16,6,22,45715,893.443,4.812,2.462
Clinton,36019,15,6,21,78138,1037.751,2.688,2.024
Columbia,36021,6,6,12,60168,634.663,1.994,1.891
Cortland,36023,3,10,13,45850,498.774,2.835,2.606
Delaware,36025,19,5,24,44305,1442.596,5.417,1.664
Dutchess,36027,23,14,37,300708,795.602,1.23,4.651
Erie,36029,60,37,97,946741,1042.763,1.025,9.302
Essex,36031,15,1,16,36438,1794.122,4.391,0.892
Franklin,36033,15,4,19,46500,1629.3,4.086,1.166
Fulton,36035,3,9,12,52216,495.46,2.298,2.422
Genesee,36037,6,12,18,58416,492.976,3.081,3.651
Greene,36039,11,7,18,47238,647.161,3.81,2.781
Hamilton,36041,7,0,7,5006,1717.378,13.983,0.408
Herkimer,36043,7,9,16,59219,1410.587,2.702,1.134
Jefferson,36045,14,19,33,111540,1267.932,2.959,2.603
Kings,36047,21,1,22,2653963,69.377,0.083,31.711
Lewis,36049,8,0,8,26479,1276.309,3.021,0.627
Livingston,36051,7,11,18,61438,631.653,2.93,2.85
Madison,36053,8,17,25,67120,654.854,3.725,3.818
Monroe,36055,25,30,55,750506,656.967,0.733,8.372
Montgomery,36057,5,13,18,50046,403.111,3.597,4.465
Nassau,36059,69,8,77,1398939,284.544,0.55,27.061
New York,36061,9,1,10,1664862,22.658,0.06,44.135
Niagara,36063,24,12,36,208912,522.348,1.723,6.892
Oneida,36065,25,31,56,226392,1212.442,2.474,4.619
Onondaga,36067,23,45,68,466584,778.393,1.457,8.736
Ontario,36069,13,14,27,113130,644.025,2.387,4.192
Orange,36071,23,21,44,417669,812.079,1.053,5.418
Orleans,36073,1,11,12,39825,391.262,3.013,3.067
Oswego,36075,7,28,35,118569,951.62,2.952,3.678
Otsego,36077,18,12,30,60589,1001.738,4.951,2.995
Putnam,36079,11,4,15,99028,230.252,1.515,6.515
Queens,36081,24,1,25,2358182,108.724,0.106,22.994
Rensselaer,36083,17,28,45,160510,652.459,2.804,6.897
Richmond,36085,6,0,6,501290,57.523,0.12,10.431
Rockland,36087,15,2,17,357397,173.685,0.476,9.788
Saratoga,36091,16,19,35,241343,809.97,1.45,4.321
Schenectady,36093,11,16,27,162581,204.681,1.661,13.191
Schoharie,36095,12,4,16,30176,621.819,5.302,2.573
Schuyler,36097,4,8,12,16924,328.343,7.091,3.655
Seneca,36099,3,7,10,32883,323.699,3.041,3.089
St. Lawrence,36089,20,18,38,105488,2679.534,3.602,1.418
Steuben,36101,20,16,36,91855,1390.51,3.919,2.589
Suffolk,36103,101,10,111,1546090,910.94,0.718,12.185
Sullivan,36105,17,6,23,80586,968.145,2.854,2.376
Tioga,36107,7,4,11,47453,518.767,2.318,2.12
Tompkins,36109,6,14,20,104047,474.65,1.922,4.214
Ulster,36111,18,16,34,183330,1124.236,1.855,3.024
Warren,36113,11,6,17,65020,867.222,2.615,1.96
Washington,36115,9,12,21,59353,831.19,3.538,2.526
Wayne,36117,9,7,16,91250,603.83,1.753,2.65
Westchester,36119,44,25,69,1015743,430.817,0.679,16.016
Wyoming,36121,15,3,18,39741,592.7,4.529,3.037
Yates,36123,4,9,13,24547,338.168,5.296,3.844
