USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
NY|36001|0500000US36001|00974099|Albany County|1354273426|26971925|522.888|10.414|42.58824|-73.97401
NY|36003|0500000US36003|00974100|Allegany County|2666410173|12989704|1029.507|5.015|42.247853|-78.026153
NY|36005|0500000US36005|00974101|Bronx County|109301172|39287800|42.201|15.169|40.848711|-73.852939
NY|36007|0500000US36007|00974102|Broome County|1827626589|25078245|705.651|9.683|42.161977|-75.830283
NY|36009|0500000US36009|00974103|Cattaraugus County|3388177066|36783591|1308.183|14.202|42.239099|-78.662332
NY|36011|0500000US36011|00974104|Cayuga County|1791207571|445691131|691.589|172.082|43.008546|-76.574587
NY|36013|0500000US36013|00974105|Chautauqua County|2746450227|1139029655|1060.41|439.782|42.304216|-79.407595
NY|36015|0500000US36015|00974106|Chemung County|1054989064|8874703|407.334|3.427|42.148697|-76.752471
NY|36017|0500000US36017|00974107|Chenango County|2314006878|13433905|893.443|5.187|42.478024|-75.602241
NY|36019|0500000US36019|00974108|Clinton County|2687763047|206581998|1037.751|79.762|44.752712|-73.705643
NY|36021|0500000US36021|00974109|Columbia County|1643770715|35071400|634.663|13.541|42.247696|-73.626718
NY|36023|0500000US36023|00974110|Cortland County|1291817953|7110638|498.774|2.745|42.594039|-76.07624
NY|36025|0500000US36025|00974111|Delaware County|3736306656|64163829|1442.596|24.774|42.193986|-74.966728
NY|36027|0500000US36027|00974112|Dutchess County|2060598606|76906718|795.602|29.694|41.754825|-73.740014
NY|36029|0500000US36029|00974113|Erie County|2700743414|476876396|1042.763|184.123|42.752759|-78.778192
NY|36031|0500000US36031|00974114|Essex County|4646755722|316348027|1794.122|122.143|44.109601|-73.778431
NY|36033|0500000US36033|00974115|Franklin County|4219867408|176612001|1629.3|68.19|44.594376|-74.31067
NY|36035|0500000US36035|00974116|Fulton County|1283236089|96915000|495.46|37.419|43.115609|-74.423678
NY|36037|0500000US36037|00974117|Genesee County|1276803035|6136678|492.976|2.369|43.00091|-78.192778
NY|36039|0500000US36039|00974118|Greene County|1676140501|28201061|647.161|10.888|42.28697|-74.149542
NY|36041|0500000US36041|00974119|Hamilton County|4447989312|234204425|1717.378|90.427|43.657879|-74.502456
NY|36043|0500000US36043|00974120|Herkimer County|3653402964|120355811|1410.587|46.47|43.571009|-74.841097
NY|36045|0500000US36045|00974121|Jefferson County|3283928401|1524534691|1267.932|588.626|43.996389|-76.052968
NY|36047|0500000US36047|00974122|Kings County|179684482|71158757|69.377|27.475|40.635045|-73.95064
NY|36049|0500000US36049|00974123|Lewis County|3305625876|39648337|1276.309|15.308|43.782706|-75.444132
NY|36051|0500000US36051|00974124|Livingston County|1635974791|22076449|631.653|8.524|42.729042|-77.778463
NY|36053|0500000US36053|00974125|Madison County|1696064498|16680858|654.854|6.441|42.910026|-75.663575
NY|36055|0500000US36055|00974126|Monroe County|1701536380|1838269506|656.967|709.76|43.250347|-77.700518
NY|36057|0500000US36057|00974127|Montgomery County|1044053041|18613118|403.111|7.187|42.900891|-74.435357
NY|36059|0500000US36059|00974128|Nassau County|736965431|437285877|284.544|168.837|40.729612|-73.589414
NY|36061|0500000US36061|00974129|New York County|58683879|29010416|22.658|11.201|40.776642|-73.970187
NY|36063|0500000US36063|00974130|Niagara County|1352876143|1598772310|522.348|617.289|43.272672|-78.812943
NY|36065|0500000US36065|00974131|Oneida County|3140211182|117357244|1212.442|45.312|43.242727|-75.434282
NY|36067|0500000US36067|00974132|Onondaga County|2016027797|70512842|778.393|27.225|43.006516|-76.196134
NY|36069|0500000US36069|00974133|Ontario County|1668017479|47845322|644.025|18.473|42.856357|-77.303497
NY|36071|0500000US36071|00974134|Orange County|2103273921|67952544|812.079|26.237|41.40241|-74.306252
NY|36073|0500000US36073|00974135|Orleans County|1013364726|1103744014|391.262|426.158|43.339906|-78.207028
NY|36075|0500000US36075|00974136|Oswego County|2464685609|933435238|951.62|360.401|43.461443|-76.209262
NY|36077|0500000US36077|00974137|Otsego County|2594488422|36312826|1001.738|14.02|42.629776|-75.028841
NY|36079|0500000US36079|00974138|Putnam County|596350753|41228996|230.252|15.919|41.427907|-73.743861
NY|36081|0500000US36081|00974139|Queens County|281594050|188444349|108.724|72.759|40.654658|-73.841209
NY|36083|0500000US36083|00974140|Rensselaer County|1689861383|33524231|652.459|12.944|42.710421|-73.513845
NY|36085|0500000US36085|00974141|Richmond County|148982681|117441532|57.523|45.344|40.561263|-74.1399
NY|36087|0500000US36087|00974142|Rockland County|449841001|66919666|173.685|25.838|41.154628|-74.024662
NY|36089|0500000US36089|00977309|St. Lawrence County|6939961469|366939180|2679.534|141.676|44.488112|-75.074311
NY|36091|0500000US36091|00974143|Saratoga County|2097812297|87488004|809.97|33.779|43.106135|-73.855387
NY|36093|0500000US36093|00974144|Schenectady County|530121015|12335637|204.681|4.763|42.817552|-74.043559
NY|36095|0500000US36095|00974145|Schoharie County|1610503550|11676951|621.819|4.508|42.591294|-74.438172
NY|36097|0500000US36097|00974146|Schuyler County|850405404|36246373|328.343|13.995|42.419776|-76.938603
NY|36099|0500000US36099|00974147|Seneca County|838377559|172813844|323.699|66.724|42.782294|-76.827088
NY|36101|0500000US36101|00974148|Steuben County|3601403378|35034921|1390.51|13.527|42.266725|-77.385525
NY|36103|0500000US36103|00974149|Suffolk County|2359323057|3787372220|910.94|1462.313|40.943554|-72.692218
NY|36105|0500000US36105|00974150|Sullivan County|2507484146|73737482|968.145|28.47|41.719993|-74.771577
NY|36107|0500000US36107|00974151|Tioga County|1343600018|11044570|518.767|4.264|42.178057|-76.297456
NY|36109|0500000US36109|00974152|Tompkins County|1229336924|43765697|474.65|16.898|42.453006|-76.473483
NY|36111|0500000US36111|00974153|Ulster County|2911757763|94596810|1124.236|36.524|41.947212|-74.265458
NY|36113|0500000US36113|00974154|Warren County|2246093482|166839689|867.222|64.417|43.555105|-73.838139
NY|36115|0500000US36115|00974155|Washington County|2152773115|38123569|831.19|14.72|43.312377|-73.439428
NY|36117|0500000US36117|00974156|Wayne County|1563913378|2018184725|603.83|779.226|43.218114|-77.049402
NY|36119|0500000US36119|00974157|Westchester County|1115811944|179391718|430.817|69.264|41.152686|-73.745753
NY|36121|0500000US36121|00974158|Wyoming County|1535086365|9085228|592.7|3.508|42.701365|-78.228576
NY|36123|0500000US36123|00974159|Yates County|875850182|97496449|338.168|37.644|42.638237|-77.104324
