SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
040,1,2,36,000,New York,New York,20203696,20122262,19835345,19713025,19786543,20001419,20002427,-81434,-286917,-122320,73518,214876,1008,53088,205539,209944,205879,205405,203078,72825,177237,176586,166689,161811,160263,-19737,28302,33358,39190,43594,42815,1341,28772,121570,211383,290637,95634,-60244,-326190,-284910,-177852,-119231,-137586,-58903,-297418,-163340,33531,171406,-41952,-2794,-17801,7662,797,-124,145,611265,593360,586828,607715,659422,682207,663508,10.28785332,10.61707474,10.42436717,10.32498221,10.1529238,8.871251975,8.930127841,8.440041673,8.133666158,8.01237961,1.41660135,1.686946896,1.9843255,2.191316057,2.140544187,1.440126282,6.147914566,10.70305377,14.60929313,4.781240284,-16.32680355,-14.40817915,-9.005263045,-5.993320291,-6.878638619,-14.88667727,-8.260264582,1.69779072,8.615972841,-2.097398335
050,1,2,36,001,New York,Albany County,314840,314293,316195,315764,317590,319702,321225,-547,1902,-431,1826,2112,1523,744,2774,2795,2732,2733,2710,854,3188,3132,3022,3066,3044,-110,-414,-337,-290,-333,-334,18,479,1473,2514,3283,1572,-486,1702,-1408,-324,-803,258,-468,2181,65,2190,2480,1830,31,135,-159,-74,-35,27,16732,16527,18570,18744,19094,18851,18982,8.79953306,8.845510547,8.627086906,8.576916076,8.456501286,10.11280151,9.912035433,9.542846497,9.621962931,9.498741666,-1.313268452,-1.066524885,-0.915759591,-1.045046855,-1.04224038,1.519457944,4.661694825,7.938688317,10.30296944,4.905394842,5.398992526,-4.455985278,-1.023124509,-2.52003791,0.805083886,6.91845047,0.205709548,6.915563808,7.782931529,5.710478729
050,1,2,36,003,New York,Allegany County,46458,46385,46753,46646,46694,46822,46800,-73,368,-107,48,128,-22,125,449,494,466,429,426,123,538,595,570,532,535,2,-89,-101,-104,-103,-109,0,6,22,42,52,40,-76,451,2,121,182,46,-76,457,24,163,234,86,1,0,-30,-11,-3,1,4502,4486,5041,5129,5347,5542,5555,9.641607078,10.57827172,9.985001071,9.174900552,9.100425114,11.55274968,12.74103577,12.21341333,11.37773215,11.42893764,-1.911142606,-2.162764055,-2.228412256,-2.202831601,-2.328512529,0.128841075,0.471097121,0.899935719,1.112109158,0.854500011,9.684554103,0.042827011,2.592671952,3.892382052,0.982675012,9.813395177,0.513924132,3.492607671,5.00449121,1.837175023
050,1,2,36,005,New York,Bronx County,1472640,1461233,1420980,1384053,1380478,1406052,1406332,-11407,-40253,-36927,-3575,25574,280,4454,17059,17178,16826,16387,16287,7170,11453,11165,10514,10150,10067,-2716,5606,6013,6312,6237,6220,294,4168,14764,29555,45502,12760,-8215,-47231,-61124,-40133,-26446,-18685,-7921,-43063,-46360,-10578,19056,-5925,-770,-2796,3420,691,281,-15,52844,51213,50169,51336,54827,55487,58741,11.83743186,12.24798425,12.17276999,11.76158161,11.58234437,7.947365445,7.960690659,7.606353483,7.285046276,7.159050827,3.890066418,4.28729359,4.56641651,4.476535333,4.423293547,2.892222053,10.52679238,21.38156526,32.65853947,9.074152036,-32.77412183,-43.58166196,-29.03421955,-18.98131368,-13.28765915,-29.88189978,-33.05486959,-7.652654284,13.6772258,-4.213507117
050,1,2,36,007,New York,Broome County,198675,198145,198548,197171,195934,195893,195736,-530,403,-1377,-1237,-41,-157,423,1833,1780,1672,1736,1717,573,2570,2481,2435,2255,2245,-150,-737,-701,-763,-519,-528,6,191,490,675,793,501,-385,880,-1093,-1131,-303,-143,-379,1071,-603,-456,490,358,-1,69,-73,-18,-12,13,11714,11548,12826,13109,13277,13371,13501,9.241403302,8.996282716,8.506633088,8.861053475,8.768502843,12.95712302,12.5392008,12.38854759,11.51018179,11.46493237,-3.715719713,-3.542918081,-3.881914501,-2.649128314,-2.696429529,0.962961282,2.476504793,3.43419697,4.047704727,2.558543928,4.436680254,-5.524121915,-5.754187812,-1.546600923,-0.730282997,5.399641536,-3.047617122,-2.319990842,2.501103804,1.828260931
050,1,2,36,009,New York,Cattaraugus County,77042,76977,76560,76032,75671,75448,75390,-65,-417,-528,-361,-223,-58,216,815,762,762,739,733,212,1030,1159,985,951,949,4,-215,-397,-223,-212,-216,0,5,27,47,39,31,-66,-265,-103,-170,-39,125,-66,-260,-76,-123,0,156,-3,58,-55,-15,-11,2,2745,2723,2734,2746,2757,2797,2911,10.61633352,9.987417427,10.04594504,9.78037176,9.719036317,13.41696138,15.19083569,12.98590008,12.58610764,12.58303611,-2.800627862,-5.203418266,-2.939955044,-2.805735877,-2.863999788,0.065130881,0.35388487,0.619631781,0.516149525,0.411037007,-3.451936667,-1.350005243,-2.241221334,-0.516149525,1.657407285,-3.386805786,-0.996120373,-1.621589553,0,2.068444291
050,1,2,36,011,New York,Cayuga County,76249,76107,75426,74730,74563,74642,74365,-142,-681,-696,-167,79,-277,182,684,667,674,657,653,211,962,905,840,803,793,-29,-278,-238,-166,-146,-140,0,11,57,42,133,57,-112,-435,-493,-25,102,-196,-112,-424,-436,17,235,-139,-1,21,-22,-18,-10,2,3633,3588,3188,3130,3293,3535,3295,9.027736533,8.884093876,9.029224411,8.80667538,8.764688907,12.69690431,12.05413037,11.25303933,10.76371435,10.64379526,-3.669167772,-3.170036495,-2.223814914,-1.957038973,-1.879106351,0.145182898,0.759210421,0.562651966,1.782782078,0.765064729,-5.741323672,-6.566504169,-0.334911885,1.367246406,-2.630748891,-5.596140775,-5.807293748,0.227740082,3.150028484,-1.865684162
050,1,2,36,013,New York,Chautauqua County,127650,127383,126549,125558,125061,124697,124126,-267,-834,-991,-497,-364,-571,318,1232,1205,1163,1241,1225,345,1747,1852,1629,1556,1551,-27,-515,-647,-466,-315,-326,1,25,89,163,150,86,-223,-425,-358,-166,-188,-332,-222,-400,-269,-3,-38,-246,-18,81,-75,-28,-11,1,5019,4845,4597,4871,4724,4631,4489,9.703385158,9.559433098,9.281020194,9.937619616,9.846356647,13.75958918,14.69217436,12.99981246,12.46006134,12.46669319,-4.056204023,-5.132741257,-3.71879227,-2.522441724,-2.620336544,0.196903108,0.706049416,1.300779271,1.201162726,0.691254426,-3.347352835,-2.840063941,-1.324719993,-1.505457283,-2.668563597,-3.150449727,-2.134014526,-0.023940723,-0.304294557,-1.977309172
050,1,2,36,015,New York,Chemung County,84148,83652,83061,81535,81090,80837,80415,-496,-591,-1526,-445,-253,-422,204,826,796,763,764,753,239,1157,1199,1134,1079,1071,-35,-331,-403,-371,-315,-318,0,17,90,95,91,68,-402,-337,-1267,-150,-17,-177,-402,-320,-1177,-55,74,-109,-59,60,54,-19,-12,5,3850,3520,3659,3064,3234,3428,3473,9.90924523,9.672167003,9.383551115,9.436350948,9.339419046,13.88014132,14.56900532,13.94619523,13.32699303,13.28355617,-3.970896091,-4.896838319,-4.56264412,-3.890642079,-3.944137127,0.203943304,1.093586721,1.168332052,1.123963267,0.843400392,-4.04287608,-15.39527084,-1.844734819,-0.20997116,-2.195321608,-3.838932777,-14.30168412,-0.676402767,0.913992108,-1.351921216
050,1,2,36,017,New York,Chenango County,47229,47071,46604,46334,45904,45793,45715,-158,-467,-270,-430,-111,-78,117,446,464,458,435,429,155,642,710,666,644,641,-38,-196,-246,-208,-209,-212,0,0,8,10,19,11,-109,-284,3,-227,85,123,-109,-284,11,-217,104,134,-11,13,-35,-5,-6,0,832,793,783,778,803,835,862,9.522284494,9.985151391,9.930831111,9.487769502,9.376229401,13.70696557,15.27900321,14.44090288,14.04626106,14.00970407,-4.184681078,-5.293851815,-4.510071771,-4.558491554,-4.633474669,0,0.172157783,0.216830374,0.414408323,0.240416139,-6.063517481,0.064559169,-4.922049481,1.853931972,2.688289549,-6.063517481,0.236716951,-4.705219107,2.268340295,2.928705687
